model,cohort,observed_auc,n_target,mean_probability,sd_probability,mean_confidence,mean_entropy,fraction_extreme,species_mean_shift,species_max_shift,species_prevalence_shift,domain_classifier_auc
stratified_joint_rf,WirbelJ_2018,0.818974358974359,125,0.4512899663299941,0.14718525514413427,0.25972034288840606,0.9276977646824633,0.0,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
stratified_joint_xgb,WirbelJ_2018,0.8605128205128205,125,0.37301194929576015,0.3715324195563366,0.7310155339341144,0.44248279753570036,0.576,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
stratified_source_only,WirbelJ_2018,0.8292307692307692,125,0.4609936115153611,0.1431760953728365,0.24613591236599935,0.9340323440738902,0.0,0.2679654535907501,0.8955464000673132,0.11434415084566522,0.9282174629324547
gene_family_enet,YachidaS_2019,0.5827286821705426,508,0.35704138937268337,0.2629468155929341,0.5227437260300919,0.6991135000553426,0.2204724409448819,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
joint_rf,YachidaS_2019,0.6685271317829458,508,0.532516182676777,0.16049594187957267,0.27190655672117253,0.9188306271510434,0.0,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
joint_xgb,YachidaS_2019,0.694015503875969,508,0.45314767007037904,0.378221807815332,0.7043744149501207,0.48021439613847855,0.5059055118110236,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
mechanism_only,YachidaS_2019,0.5387441860465116,508,0.5130117877523211,0.0873815376122341,0.12849431929492008,0.9767286331593779,0.0,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
mechanism_plus_parent,YachidaS_2019,0.5183565891472868,508,0.42891633803030305,0.17117798627749933,0.31184796182186886,0.8956556442630422,0.0,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
parent_species_only,YachidaS_2019,0.5233023255813953,508,0.4232747630734359,0.16327357119117536,0.30546389265072776,0.9013943624363064,0.0,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
pathway_rf,YachidaS_2019,0.6785116279069768,508,0.5266201654789496,0.17085697612852024,0.2841819850492571,0.9088595800665071,0.001968503937007874,0.2404851076744048,0.7984579723444201,0.10216304652442304,0.9219894444602368
